 RANCH version 2.1 - r(10584)
 Started: ............................................... : Tue Nov  6 20:50:12 2018
 iSeed .................................................. : 1320722728
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 87
 Number of atoms: ....................................... : 87
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./Desktop/g891c/
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
     788               1320723515     2
     789               1320723516     2
     790               1320723517     2
     791               1320723518     2
     792               1320723519     2
     793               1320723520     2
     794               1320723521     2
     795               1320723522     2
     796               1320723523     2
     797               1320723524     2
     798               1320723525     2
     799               1320723526     2
     800               1320723527     2
     801               1320723528     2
     802               1320723529     2
     803               1320723530     2
     804               1320723531     2
     805               1320723532     2
     806               1320723533     2
     807               1320723534     2
     808               1320723535     2
     809               1320723536     2
     810               1320723537     2
     811               1320723538     2
     812               1320723539     2
     813               1320723540     2
     814               1320723541     2
     815               1320723542     2
     816               1320723543     2
     817               1320723544     2
     818               1320723545     2
     819               1320723546     2
     820               1320723547     2
     821               1320723548     2
     822               1320723549     2
     823               1320723550     2
     824               1320723551     2
     825               1320723552     2
     826               1320723553     2
     827               1320723554     2
     828               1320723555     2
     829               1320723556     2
     830               1320723557     2
     831               1320723558     2
     832               1320723559     2
     833               1320723560     2
     834               1320723561     2
     835               1320723562     2
     836               1320723563     2
     837               1320723564     2
     838               1320723565     2
     839               1320723566     2
     840               1320723567     2
     841               1320723568     2
     842               1320723569     2
     843               1320723570     2
     844               1320723571     2
     845               1320723572     2
     846               1320723573     2
     847               1320723574     2
     848               1320723575     2
     849               1320723576     2
     850               1320723577     2
     851               1320723578     2
     852               1320723579     2
     853               1320723580     2
     854               1320723581     2
     855               1320723582     2
     856               1320723583     2
     857               1320723584     2
     858               1320723585     2
     859               1320723586     2
     860               1320723587     2
     861               1320723588     2
     862               1320723589     2
     863               1320723590     2
     864               1320723591     2
     865               1320723592     2
     866               1320723593     2
     867               1320723594     2
     868               1320723595     2
     869               1320723596     2
     870               1320723597     2
     871               1320723598     2
     872               1320723599     2
     873               1320723600     2
     874               1320723601     2
     875               1320723602     2
     876               1320723603     2
     877               1320723604     2
     878               1320723605     2
     879               1320723606     2
     880               1320723607     2
     881               1320723608     2
     882               1320723609     2
     883               1320723610     2
     884               1320723611     2
     885               1320723612     2
     886               1320723613     2
     887               1320723614     2
     888               1320723615     2
     889               1320723616     2
     890               1320723617     2
     891               1320723618     2
     892               1320723619     2
     893               1320723620     2
     894               1320723621     2
     895               1320723622     2
     896               1320723623     2
     897               1320723624     2
     898               1320723625     2
     899               1320723626     2
     900               1320723627     2
     901               1320723628     2
     902               1320723629     2
     903               1320723630     2
     904               1320723631     2
     905               1320723632     2
     906               1320723633     2
     907               1320723634     2
     908               1320723635     2
     909               1320723636     2
     910               1320723637     2
     911               1320723638     2
     912               1320723639     2
     913               1320723640     2
     914               1320723641     2
     915               1320723642     2
     916               1320723643     2
     917               1320723644     2
     918               1320723645     2
     919               1320723646     2
     920               1320723647     2
     921               1320723648     2
     922               1320723649     2
     923               1320723650     2
     924               1320723651     2
     925               1320723652     2
     926               1320723653     2
     927               1320723654     2
     928               1320723655     2
     929               1320723656     2
     930               1320723657     2
     931               1320723658     2
     932               1320723659     2
     933               1320723660     2
     934               1320723661     2
     935               1320723662     2
     936               1320723663     2
     937               1320723664     2
     938               1320723665     2
     939               1320723666     2
     940               1320723667     2
     941               1320723668     2
     942               1320723669     2
     943               1320723670     2
     944               1320723671     2
     945               1320723672     2
     946               1320723673     2
     947               1320723674     2
     948               1320723675     2
     949               1320723676     2
     950               1320723677     2
     951               1320723678     2
     952               1320723679     2
     953               1320723680     2
     954               1320723681     2
     955               1320723682     2
     956               1320723683     2
     957               1320723684     2
     958               1320723685     2
     959               1320723686     2
     960               1320723687     2
     961               1320723688     2
     962               1320723689     2
     963               1320723690     2
     964               1320723691     2
     965               1320723692     2
     966               1320723693     2
     967               1320723694     2
     968               1320723695     2
     969               1320723696     2
     970               1320723697     2
     971               1320723698     2
     972               1320723699     2
     973               1320723700     2
     974               1320723701     2
     975               1320723702     2
     976               1320723703     2
     977               1320723704     2
     978               1320723705     2
     979               1320723706     2
     980               1320723707     2
     981               1320723708     2
     982               1320723709     2
     983               1320723710     2
     984               1320723711     2
     985               1320723712     2
     986               1320723713     2
     987               1320723714     2
     988               1320723715     2
     989               1320723716     2
     990               1320723717     2
     991               1320723718     2
     992               1320723719     2
     993               1320723720     2
     994               1320723721     2
     995               1320723722     2
     996               1320723723     2
     997               1320723724     2
     998               1320723725     2
     999               1320723726     2
    1000               1320723727     2
    1001               1320723728     2
    1002               1320723729     2
    1003               1320723730     2
    1004               1320723731     2
    1005               1320723732     2
    1006               1320723733     2
    1007               1320723734     2
    1008               1320723735     2
    1009               1320723736     2
    1010               1320723737     2
    1011               1320723738     2
    1012               1320723739     2
    1013               1320723740     2
    1014               1320723741     2
    1015               1320723742     2
    1016               1320723743     2
    1017               1320723744     2
    1018               1320723745     2
    1019               1320723746     2
    1020               1320723747     2
    1021               1320723748     2
    1022               1320723749     2
    1023               1320723750     2
    1024               1320723751     2
    1025               1320723752     2
    1026               1320723753     2
    1027               1320723754     2
    1028               1320723755     2
    1029               1320723756     2
    1030               1320723757     2
    1031               1320723758     2
    1032               1320723759     2
    1033               1320723760     2
    1034               1320723761     2
    1035               1320723762     2
    1036               1320723763     2
    1037               1320723764     2
    1038               1320723765     2
    1039               1320723766     2
    1040               1320723767     2
    1041               1320723768     2
    1042               1320723769     2
    1043               1320723770     2
    1044               1320723771     2
    1045               1320723772     2
    1046               1320723773     2
    1047               1320723774     2
    1048               1320723775     2
    1049               1320723776     2
    1050               1320723777     2
    1051               1320723778     2
    1052               1320723779     2
    1053               1320723780     2
    1054               1320723781     2
    1055               1320723782     2
    1056               1320723783     2
    1057               1320723784     2
    1058               1320723785     2
    1059               1320723786     2
    1060               1320723787     2
    1061               1320723788     2
    1062               1320723789     2
    1063               1320723790     2
    1064               1320723791     2
    1065               1320723792     2
    1066               1320723793     2
    1067               1320723794     2
    1068               1320723795     2
    1069               1320723796     2
    1070               1320723797     2
    1071               1320723798     2
    1072               1320723799     2
    1073               1320723800     2
    1074               1320723801     2
    1075               1320723802     2
    1076               1320723803     2
    1077               1320723804     2
    1078               1320723805     2
    1079               1320723806     2
    1080               1320723807     2
    1081               1320723808     2
    1082               1320723809     2
    1083               1320723810     2
    1084               1320723811     2
    1085               1320723812     2
    1086               1320723813     2
    1087               1320723814     2
    1088               1320723815     2
    1089               1320723816     2
    1090               1320723817     2
    1091               1320723818     2
    1092               1320723819     2
    1093               1320723820     2
    1094               1320723821     2
    1095               1320723822     2
    1096               1320723823     2
    1097               1320723824     2
    1098               1320723825     2
    1099               1320723826     2
    1100               1320723827     2
    1101               1320723828     2
    1102               1320723829     2
    1103               1320723830     2
    1104               1320723831     2
    1105               1320723832     2
    1106               1320723833     2
    1107               1320723834     2
    1108               1320723835     2
    1109               1320723836     2
    1110               1320723837     2
    1111               1320723838     2
    1112               1320723839     2
    1113               1320723840     2
    1114               1320723841     2
    1115               1320723842     2
    1116               1320723843     2
    1117               1320723844     2
    1118               1320723845     2
    1119               1320723846     2
    1120               1320723847     2
    1121               1320723848     2
    1122               1320723849     2
    1123               1320723850     2
    1124               1320723851     2
