 RANCH version 2.1 - r(10584)
 Started: ............................................... : Wed Oct 17 11:39:55 2018
 iSeed .................................................. : 1906904818
 Chain type ............................................. : Random
 Sequence file name: .................................... : ctfcp1_w_a927c.fasta
 Symmetry: .............................................. : p1
 Symmetry type: ......................................... : aSymmetric
 Number of residues per chain: .......................... : 86
 Number of atoms: ....................................... : 86
 Number of domains: ..................................... : 0
 Contact file name: ..................................... : None
 Number of structures: .................................. : 10000
 Suffix of the pdb files: ............................... : eom
 Output Folder Path: .................................... : ./
 Number of experimental curves: ......................... : 0
 Structure number         Seed       Type(0=aSymm,1=Symm,2=noSymm)
     708               1906905525     2
     709               1906905526     2
     710               1906905527     2
     711               1906905528     2
     712               1906905529     2
     713               1906905530     2
     714               1906905531     2
     715               1906905532     2
     716               1906905533     2
     717               1906905534     2
     718               1906905535     2
     719               1906905536     2
     720               1906905537     2
     721               1906905538     2
     722               1906905539     2
     723               1906905540     2
     724               1906905541     2
     725               1906905542     2
     726               1906905543     2
     727               1906905544     2
     728               1906905545     2
     729               1906905546     2
     730               1906905547     2
     731               1906905548     2
     732               1906905549     2
     733               1906905550     2
     734               1906905551     2
     735               1906905552     2
     736               1906905553     2
     737               1906905554     2
     738               1906905555     2
     739               1906905556     2
     740               1906905557     2
     741               1906905558     2
     742               1906905559     2
     743               1906905560     2
     744               1906905561     2
     745               1906905562     2
     746               1906905563     2
     747               1906905564     2
     748               1906905565     2
     749               1906905566     2
     750               1906905567     2
     751               1906905568     2
     752               1906905569     2
     753               1906905570     2
     754               1906905571     2
     755               1906905572     2
     756               1906905573     2
     757               1906905574     2
     758               1906905575     2
     759               1906905576     2
     760               1906905577     2
     761               1906905578     2
     762               1906905579     2
     763               1906905580     2
     764               1906905581     2
     765               1906905582     2
     766               1906905583     2
     767               1906905584     2
     768               1906905585     2
     769               1906905586     2
     770               1906905587     2
     771               1906905588     2
     772               1906905589     2
     773               1906905590     2
     774               1906905591     2
     775               1906905592     2
     776               1906905593     2
     777               1906905594     2
     778               1906905595     2
     779               1906905596     2
     780               1906905597     2
     781               1906905598     2
     782               1906905599     2
     783               1906905600     2
     784               1906905601     2
     785               1906905602     2
     786               1906905603     2
     787               1906905604     2
     788               1906905605     2
     789               1906905606     2
     790               1906905607     2
     791               1906905608     2
     792               1906905609     2
     793               1906905610     2
     794               1906905611     2
     795               1906905612     2
     796               1906905613     2
     797               1906905614     2
     798               1906905615     2
     799               1906905616     2
     800               1906905617     2
     801               1906905618     2
     802               1906905619     2
     803               1906905620     2
     804               1906905621     2
     805               1906905622     2
